Periodo,F1_Score,Accuracy,Precision,Recall,Dropout,LR,Momentum
2020-39,0.6124401913875598,0.7272727272727273,0.7272727272727273,1.0,0.3382374548935926,0.01983010821733412,0.5076889063100609
2020-43,1.0,1.0,1.0,1.0,0.30935161934976413,0.009466082816417193,0.09691507917337248
2020-44,0.6805555555555556,0.7777777777777778,0.7777777777777778,1.0,0.4086957107929653,0.00540742201959154,0.19362892935390616
2020-45,0.5841784989858012,0.7058823529411765,0.7058823529411765,1.0,0.3805078407216348,0.0002888398680617011,0.6182601596762718
2020-51,0.728448275862069,0.8125,0.8125,1.0,0.14466861730870742,0.004774873771044541,0.7758592603205221
2021-01,1.0,1.0,1.0,1.0,0.17682224028868254,0.028648095387519862,0.6571774547266054
2021-02,0.728448275862069,0.8125,0.8125,1.0,0.41120889857709,0.0047274018441203144,0.13604878804819678
2021-03,0.8768115942028986,0.9166666666666666,0.9166666666666666,1.0,0.1064919437234992,0.001954579170975967,0.3554307795721609
2021-05,0.829654403567447,0.8840579710144928,0.8840579710144928,1.0,0.4540945635109851,0.0070576992134545906,0.8723724720202054
2021-07,0.9217638691322904,0.9473684210526315,0.9473684210526315,1.0,0.33996461434352354,0.00015666740421537218,0.610399389503402
2021-08,0.9518773135906927,0.967741935483871,0.967741935483871,1.0,0.26892766536942575,0.04571796775823343,0.680615762492437
2021-09,1.0,1.0,1.0,1.0,0.36509791837727124,0.03017759301780711,0.8154523614933976
2021-10,0.897783251231527,0.9310344827586207,0.9310344827586207,1.0,0.435012753937826,0.00021418168514895363,0.8150571843753064
2021-11,1.0,1.0,1.0,1.0,0.2808477644298947,0.028805200419056952,0.8398053092433837
2021-12,1.0,1.0,1.0,1.0,0.1309247698515267,0.005986098154001263,0.7722758825055674
2021-13,0.9547785547785548,0.9696969696969697,0.9696969696969697,1.0,0.1673810595118948,0.0005787843301832126,0.4369061798397247
2021-18,1.0,1.0,1.0,1.0,0.4903208534255431,0.001745422494553948,0.4697864968318205
2021-19,0.4245614035087719,0.5789473684210527,0.5789473684210527,1.0,0.3669262160490664,0.0016751439046538827,0.6844427627255266
2021-21,0.45,0.6,0.6,1.0,0.10863856721647124,0.00792893657441835,0.49251344153519655
2021-22,0.711111111111111,0.8,0.8,1.0,0.4837448512631318,0.033844423371947735,0.12027654114690767
2021-24,0.9701010101010101,0.98,0.98,1.0,0.13780877804960842,0.0013903883217925865,0.49437187962065365
2021-25,1.0,1.0,1.0,1.0,0.18958823506873668,0.001082264065937115,0.6696826715242485
2021-26,1.0,1.0,1.0,1.0,0.38624515887838395,0.0001302590759140121,0.8359847174919597
2021-28,1.0,1.0,1.0,1.0,0.3233023141809288,0.01877792960453933,0.8299508086153089
2021-29,0.8366013071895424,0.8888888888888888,0.8888888888888888,1.0,0.2087574061514651,0.0010624037739851069,0.3773144647196881
2021-31,1.0,1.0,1.0,1.0,0.18400056733763917,0.0022903915975040923,0.21770671949812825
2021-32,0.9291521486643437,0.9523809523809523,0.9523809523809523,1.0,0.11309027583028386,0.00019875629469547475,0.6993594655331788
2021-33,0.22857142857142856,0.4,0.4,1.0,0.16080539352126816,0.00021813253436126133,0.3213484370274953
2021-34,1.0,1.0,1.0,1.0,0.44669885826255074,0.06801322816394258,0.8972453260775851
2021-35,0.5333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.4243575946612794,0.012771655533984409,0.48992381426392356
2021-36,0.6231306081754735,0.7352941176470589,0.7352941176470589,1.0,0.13770097160461126,0.000555050760275982,0.35810073503840123
2021-37,0.9043010752688173,0.9354838709677419,0.9354838709677419,1.0,0.39073380421119197,0.00041949613403965307,0.2977075369942236
2021-38,0.8941798941798941,0.9285714285714286,0.9285714285714286,1.0,0.20755861016602292,0.03910116068571628,0.5545138773403763
2021-39,0.8816666666666667,0.92,0.92,1.0,0.15953651401577737,0.02836304235330866,0.7823994361709296
2021-41,0.022222222222222223,0.1111111111111111,0.1111111111111111,1.0,0.29294477141726616,0.0011077723834461122,0.3364592081362705
2021-43,0.0,0.0,0.0,0.0,0.3907413538716309,0.00030972645995401506,0.17693320474585933
2021-44,0.5333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.4049077006015076,0.00018056233206456313,0.46785039503141984
2021-45,1.0,1.0,1.0,1.0,0.37104313127741806,0.001100128485706236,0.5632037090593839
2021-46,0.8916332201296697,0.926829268292683,0.926829268292683,1.0,0.3407108992618689,0.0018059666314316858,0.2734920645203905
2021-47,0.9596445760829322,0.972972972972973,0.972972972972973,1.0,0.13213470019022303,0.07512377155709328,0.34964647765213697
2021-49,1.0,1.0,1.0,1.0,0.17196112788672396,0.01088512829935377,0.1136810380159923
2021-50,1.0,1.0,1.0,1.0,0.12565343716148292,0.00010803240717108878,0.7534544808187071
2022-01,0.9323467230443974,0.9545454545454546,0.9545454545454546,1.0,0.41228676734140346,0.00318459884269538,0.0481800616568685
2022-02,1.0,1.0,1.0,1.0,0.47336755167541433,0.0020295681977317605,0.6932731634611767
2022-03,0.0,0.0,0.0,0.0,0.25589399401258583,0.00010085363429858949,0.24328375786419582
2022-04,1.0,1.0,1.0,1.0,0.4079530283595877,0.051088969249576295,0.5171127737562619
2022-05,0.7363636363636363,0.8181818181818182,0.8181818181818182,1.0,0.2613943906028771,0.01016812179056424,0.4247663190029792
2022-06,0.728448275862069,0.8125,0.8125,1.0,0.4011611744068181,0.00022264327841955083,0.32685981572193357
2022-08,0.8526315789473683,0.9,0.9,1.0,0.13825327492899248,0.00010361135863281543,0.14158263135006852
