Periodo,F1_Score,Accuracy,Precision,Recall,Dropout,LR,Momentum
2020-31,1.0,1.0,1.0,1.0,0.4653087067617465,0.0006439003952980288,0.7423772554154184
2020-32,1.0,1.0,1.0,1.0,0.47395893976236214,0.00022789799554109806,0.24577197427973138
2020-33,0.960701754385965,0.9736842105263158,0.9736842105263158,1.0,0.3803844678042728,0.016351408894525972,0.5540995077059032
2020-34,1.0,1.0,1.0,1.0,0.3397600272767908,0.00021802014397113563,0.2649689581092387
2020-35,1.0,1.0,1.0,1.0,0.47690931808635595,0.00017531566516643086,0.06841827306570862
2020-36,1.0,1.0,1.0,1.0,0.18863639559096024,0.0013463662720587335,0.7608460924348371
2020-37,0.7575757575757575,0.8333333333333334,0.8333333333333334,1.0,0.26349600243553306,0.013537274843878564,0.4419851964658257
2020-39,1.0,1.0,1.0,1.0,0.11113811720413312,0.0039470948588619615,0.647698611600385
2020-40,0.907258064516129,0.9375,0.9375,1.0,0.1056703023648562,0.00016801150713064087,0.0669607181729975
2020-42,0.9151260504201681,0.9428571428571428,0.9428571428571428,1.0,0.3286822714330807,0.00035272885113516773,0.6862028982536879
2020-44,1.0,1.0,1.0,1.0,0.27790531384610273,0.0001897296765975847,0.48693398003398114
2020-45,1.0,1.0,1.0,1.0,0.18923693275248554,0.05650122020267075,0.10382203990195175
2020-46,1.0,1.0,1.0,1.0,0.44013093920865287,0.004848490873986172,0.7548414412410498
2020-47,1.0,1.0,1.0,1.0,0.19388971721447407,0.002742013850322604,0.18977758108679835
2020-48,0.9758720167846839,0.9838709677419355,0.9838709677419355,1.0,0.21685914071613063,0.006726027325532979,0.4817328543801615
2020-49,1.0,1.0,1.0,1.0,0.2713989576361411,0.0003167930353978316,0.4975609181704752
2020-50,0.9043010752688173,0.9354838709677419,0.9354838709677419,1.0,0.4269247889354735,0.0005444358065320067,0.7407227643907293
2020-52,0.8526315789473683,0.9,0.9,1.0,0.12546673719763457,0.0005407704883044958,0.7419170514443407
2021-01,0.7912087912087912,0.8571428571428571,0.8571428571428571,1.0,0.3964686683167792,0.000180400794823253,0.5515232659115908
2021-03,1.0,1.0,1.0,1.0,0.3733940183619232,0.030278646484057408,0.18655072836782166
2021-05,1.0,1.0,1.0,1.0,0.22829821362892613,0.012285111530680126,0.686598173620906
2021-06,1.0,1.0,1.0,1.0,0.15474958674786793,0.00016546325172710173,0.6517958743385422
2021-07,0.8166666666666667,0.875,0.875,1.0,0.48817560734289434,0.005422381399841146,0.7607019284458493
2021-08,0.9256410256410256,0.95,0.95,1.0,0.44926179971571856,0.010480559623261599,0.10995477782647733
2021-10,0.7982120051085568,0.8620689655172413,0.8620689655172413,1.0,0.46436588873680795,0.004322072924572768,0.8609138098502874
2021-11,0.711111111111111,0.8,0.8,1.0,0.16081599815223205,0.009212649337100379,0.6352724463674946
2021-14,0.8144012321909896,0.8490566037735849,0.8823529411764706,0.9574468085106383,0.24303938124461727,0.000214974772583333,0.16255010122576122
2021-15,1.0,1.0,1.0,1.0,0.3086067485299381,0.06300670836391749,0.4386995699047846
2021-16,0.7575757575757576,0.8333333333333334,0.8333333333333334,1.0,0.44480259737479033,0.008343904493440527,0.8066887669811675
2021-17,0.728448275862069,0.8125,0.8125,1.0,0.24224400420597827,0.006690548239818225,0.6200542892159269
2021-18,1.0,1.0,1.0,1.0,0.4743463764979958,0.007870833603057842,0.345412675569266
2021-19,1.0,1.0,1.0,1.0,0.22005301940005337,0.008529796320025243,0.3345443133799532
2021-20,1.0,1.0,1.0,1.0,0.21610021961259412,0.002319440590155242,0.22297208564128557
2021-21,1.0,1.0,1.0,1.0,0.3340719966392982,0.009182451503135163,0.26131503255191985
2021-22,0.3333333333333333,0.5,0.5,1.0,0.29453542744368044,0.03737021286043776,0.3664717716134128
2021-25,0.8861538461538461,0.9230769230769231,0.9230769230769231,1.0,0.19819029148445086,0.010054156776737693,0.3748271733402741
2021-27,0.45,0.6,0.6,1.0,0.23627690809138113,0.0009039279752242743,0.1354921160245852
2021-28,0.5333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.28270296616103463,0.004804165919172859,0.6120234943659444
2021-30,0.9256410256410256,0.95,0.95,1.0,0.38259510961817833,0.02939087085956706,0.8825165593298421
2021-34,1.0,1.0,1.0,1.0,0.24257778582154466,0.0038273623022980837,0.08987609038251974
2021-35,0.9579476861167002,0.971830985915493,0.971830985915493,1.0,0.19359874215423895,0.0002650600832347858,0.05707430384209489
2021-36,0.711111111111111,0.8,0.8,1.0,0.46140028201747296,0.0004361028651904584,0.8220203764968209
2021-41,1.0,1.0,1.0,1.0,0.15823006746232113,0.007030123517321569,0.6712856400496194
2021-42,0.8658008658008658,0.9090909090909091,0.9090909090909091,1.0,0.35439853562116663,0.012503644075141224,0.636018163389574
2021-43,0.46886446886446886,0.6153846153846154,0.6153846153846154,1.0,0.44473086006987383,0.03980766114932652,0.6560417650710141
2021-47,1.0,1.0,1.0,1.0,0.38749417105665906,0.004985237459029403,0.6837333212257676
2021-48,0.8166666666666667,0.875,0.875,1.0,0.11044834912724362,0.004791818715003357,0.361481158996652
2021-49,0.20454545454545453,0.375,0.375,1.0,0.28883077983986194,0.0005271845370196879,0.8217752399186311
2021-50,0.22857142857142856,0.4,0.0,0.0,0.3403805445415715,0.00010660534764694153,0.06014275320238224
2021-51,1.0,1.0,1.0,1.0,0.16912248846116432,0.00013738746504660433,0.15513048261862608
2021-52,0.494949494949495,0.6363636363636364,0.6363636363636364,1.0,0.42047734778136614,0.001086043372283079,0.06809414029657082
