time,open,high,low,close,tick_volume,spread,real_volume
2020-05-07 00:00:00,1.07942,1.07967,1.07903,1.07953,419,4,0
2020-05-07 01:00:00,1.07953,1.07999,1.07934,1.07981,1165,1,0
2020-05-07 02:00:00,1.07981,1.07999,1.07918,1.07979,1883,1,0
2020-05-07 03:00:00,1.07979,1.08024,1.0792,1.07939,2693,1,0
2020-05-07 04:00:00,1.07939,1.08007,1.07934,1.08,2028,1,0
2020-05-07 05:00:00,1.08001,1.08025,1.07978,1.07999,1285,1,0
2020-05-07 06:00:00,1.07999,1.08043,1.07993,1.08004,933,1,0
2020-05-07 07:00:00,1.08005,1.08022,1.0796999999999999,1.07989,1083,1,0
2020-05-07 08:00:00,1.07989,1.0799,1.07893,1.07922,1577,1,0
2020-05-07 09:00:00,1.07922,1.08054,1.07859,1.07925,6575,1,0
2020-05-07 10:00:00,1.07923,1.08162,1.07893,1.07988,8203,1,0
2020-05-07 11:00:00,1.07988,1.08037,1.07879,1.0793,5939,1,0
2020-05-07 12:00:00,1.07928,1.08003,1.0778,1.07988,5971,1,0
2020-05-07 13:00:00,1.07988,1.08012,1.07797,1.07918,5884,1,0
2020-05-07 14:00:00,1.07918,1.07947,1.07849,1.07903,5582,1,0
2020-05-07 15:00:00,1.07906,1.07994,1.07763,1.07943,6343,1,0
2020-05-07 16:00:00,1.07942,1.07965,1.0777700000000001,1.07783,6772,1,0
2020-05-07 17:00:00,1.07783,1.07932,1.0766499999999999,1.07766,9311,0,0
2020-05-07 18:00:00,1.07766,1.08155,1.07759,1.0814,7233,1,0
2020-05-07 19:00:00,1.08141,1.0818699999999999,1.08025,1.0812599999999999,7210,1,0
2020-05-07 20:00:00,1.0812599999999999,1.08337,1.0812,1.08308,5308,1,0
2020-05-07 21:00:00,1.08308,1.08335,1.08224,1.08257,3452,1,0
2020-05-07 22:00:00,1.08256,1.08322,1.08226,1.08291,2929,1,0
2020-05-07 23:00:00,1.08293,1.0834,1.0828,1.08308,1344,1,0
2020-05-08 00:00:00,1.08316,1.08386,1.08217,1.0831,572,1,0
2020-05-08 01:00:00,1.0830899999999999,1.08407,1.08298,1.08375,1796,1,0
2020-05-08 02:00:00,1.08377,1.084,1.0832,1.0836,1615,1,0
2020-05-08 03:00:00,1.08359,1.08496,1.08332,1.08477,2880,1,0
2020-05-08 04:00:00,1.08478,1.08526,1.08423,1.08501,3882,1,0
2020-05-08 05:00:00,1.08503,1.08547,1.08448,1.0849,3218,1,0
2020-05-08 06:00:00,1.08491,1.08513,1.08448,1.08472,1352,1,0
2020-05-08 07:00:00,1.08471,1.08477,1.08416,1.0843099999999999,990,1,0
2020-05-08 08:00:00,1.0843099999999999,1.08461,1.08399,1.08413,1535,0,0
2020-05-08 09:00:00,1.08413,1.08445,1.08332,1.08333,2766,1,0
2020-05-08 10:00:00,1.08333,1.08375,1.08238,1.08243,4115,1,0
2020-05-08 11:00:00,1.08243,1.0835,1.08192,1.08343,3918,1,0
