time,open,high,low,close,tick_volume,spread,real_volume
2020-05-07 00:00:00,0.63968,0.64053,0.63955,0.63962,622,5,0
2020-05-07 01:00:00,0.63962,0.63997,0.63797,0.63852,2301,1,0
2020-05-07 02:00:00,0.63852,0.63913,0.63785,0.63906,2604,2,0
2020-05-07 03:00:00,0.63907,0.64086,0.63906,0.63984,6977,2,0
2020-05-07 04:00:00,0.63985,0.64096,0.63953,0.64048,5367,2,0
2020-05-07 05:00:00,0.64047,0.64169,0.64015,0.64138,4226,2,0
2020-05-07 06:00:00,0.64136,0.64239,0.64133,0.64167,2455,2,0
2020-05-07 07:00:00,0.64167,0.64215,0.64144,0.6417,1710,2,0
2020-05-07 08:00:00,0.64169,0.64286,0.64113,0.64244,3004,2,0
2020-05-07 09:00:00,0.64245,0.64555,0.6423,0.64392,5215,2,0
2020-05-07 10:00:00,0.64392,0.64737,0.64374,0.64546,6400,2,0
2020-05-07 11:00:00,0.64546,0.64627,0.64498,0.64554,2925,2,0
2020-05-07 12:00:00,0.64556,0.6465,0.64515,0.64612,2950,2,0
2020-05-07 13:00:00,0.64612,0.64673,0.64579,0.64642,3169,2,0
2020-05-07 14:00:00,0.64642,0.64687,0.64564,0.64635,2588,2,0
2020-05-07 15:00:00,0.64635,0.64658,0.64505,0.64536,3893,2,0
2020-05-07 16:00:00,0.64536,0.64583,0.64458,0.64526,3821,2,0
2020-05-07 17:00:00,0.64526,0.64526,0.64414,0.64507,5599,2,0
2020-05-07 18:00:00,0.64508,0.64997,0.64504,0.64987,5115,2,0
2020-05-07 19:00:00,0.64987,0.65059,0.64883,0.64924,3729,2,0
2020-05-07 20:00:00,0.64924,0.65005,0.64894,0.64981,2303,2,0
2020-05-07 21:00:00,0.64982,0.65016,0.64851,0.64869,1967,2,0
2020-05-07 22:00:00,0.64867,0.64881,0.64819,0.64862,2141,2,0
2020-05-07 23:00:00,0.6486,0.64969,0.6483,0.6494,1007,2,0
2020-05-08 00:00:00,0.64952,0.64996,0.64925,0.6494,666,2,0
2020-05-08 01:00:00,0.6494,0.65086,0.64933,0.65073,1655,2,0
2020-05-08 02:00:00,0.65073,0.65107,0.64932,0.65006,2670,2,0
2020-05-08 03:00:00,0.6501,0.65319,0.64974,0.65263,4041,2,0
2020-05-08 04:00:00,0.65264,0.65457,0.6521,0.65362,3738,2,0
2020-05-08 05:00:00,0.65363,0.6548,0.65308,0.65384,4507,2,0
2020-05-08 06:00:00,0.65384,0.65401,0.65317,0.65335,2461,2,0
2020-05-08 07:00:00,0.65335,0.65357,0.65251,0.65322,1863,2,0
2020-05-08 08:00:00,0.65323,0.65378,0.65284,0.65287,2629,2,0
2020-05-08 09:00:00,0.65287,0.65312,0.65189,0.65196,2272,2,0
2020-05-08 10:00:00,0.65196,0.65292,0.65175,0.65209,2198,2,0
2020-05-08 11:00:00,0.65209,0.65209,0.65073,0.65175,2204,2,0
2020-05-08 12:00:00,0.65175,0.65255,0.65135,0.65241,1698,2,0
2020-05-08 13:00:00,0.65239,0.65264,0.65212,0.65225,1282,2,0
2020-05-08 14:00:00,0.65223,0.65223,0.65102,0.652,1505,2,0
2020-05-08 15:00:00,0.65201,0.6537,0.65067,0.65143,7298,2,0
2020-05-08 16:00:00,0.65143,0.65192,0.65047,0.65156,5977,2,0
2020-05-08 17:00:00,0.65156,0.6545,0.65109,0.65392,7760,2,0
2020-05-08 18:00:00,0.65392,0.65433,0.65311,0.65427,4752,2,0
2020-05-08 19:00:00,0.65426,0.65426,0.65325,0.65365,1703,2,0
2020-05-08 20:00:00,0.65364,0.65364,0.65293,0.65303,1187,2,0
2020-05-08 21:00:00,0.65302,0.65311,0.65216,0.6526,1800,2,0
2020-05-08 22:00:00,0.65259,0.65305,0.65225,0.65304,1232,2,0
2020-05-08 23:00:00,0.65304,0.65325,0.65282,0.6529,954,4,0
2020-05-11 00:00:00,0.65238,0.65285,0.65217,0.6522,418,5,0
2020-05-11 01:00:00,0.65224,0.65264,0.65137,0.65254,2026,2,0
2020-05-11 02:00:00,0.65254,0.65373,0.65169,0.65351,2225,2,0
2020-05-11 03:00:00,0.65351,0.65398,0.65292,0.65348,3159,2,0
2020-05-11 04:00:00,0.65347,0.65556,0.65311,0.65556,3163,2,0
2020-05-11 05:00:00,0.65556,0.65614,0.65503,0.65543,2395,2,0
2020-05-11 06:00:00,0.65543,0.65555,0.65504,0.65548,1313,2,0
2020-05-11 07:00:00,0.65548,0.65578,0.65505,0.65535,1434,2,0
2020-05-11 08:00:00,0.65535,0.65551,0.65406,0.65417,1484,2,0
2020-05-11 09:00:00,0.65417,0.65531,0.65367,0.65399,2980,2,0
2020-05-11 10:00:00,0.654,0.65436,0.65264,0.65313,3897,2,0
2020-05-11 11:00:00,0.65313,0.65326,0.65008,0.65135,4352,2,0
2020-05-11 12:00:00,0.65135,0.65139,0.65038,0.6509,3507,2,0
2020-05-11 13:00:00,0.65091,0.65127,0.64838,0.64895,3879,2,0
2020-05-11 14:00:00,0.64895,0.64914,0.64655,0.64689,4036,2,0
2020-05-11 15:00:00,0.64689,0.64835,0.64638,0.64727,7200,2,0
2020-05-11 16:00:00,0.64727,0.6493,0.64721,0.64834,6259,2,0
2020-05-11 17:00:00,0.64834,0.64917,0.64749,0.64859,6566,2,0
2020-05-11 18:00:00,0.64859,0.64875,0.64677,0.64709,4740,2,0
2020-05-11 19:00:00,0.64709,0.64892,0.64561,0.64888,4262,2,0
2020-05-11 20:00:00,0.64888,0.64979,0.64854,0.64862,1960,2,0
2020-05-11 21:00:00,0.64863,0.64864,0.6476,0.6483,1803,2,0
2020-05-11 22:00:00,0.6483,0.64911,0.64827,0.64884,1248,2,0
2020-05-11 23:00:00,0.64884,0.64932,0.64852,0.64882,980,2,0
2020-05-12 00:00:00,0.6487,0.64914,0.64815,0.64894,405,2,0
2020-05-12 01:00:00,0.64897,0.64915,0.64852,0.64871,890,2,0
2020-05-12 02:00:00,0.64871,0.64871,0.64766,0.64839,1175,2,0
2020-05-12 03:00:00,0.64839,0.64865,0.6432,0.64386,6774,2,0
