Periodo,F1_Score,Accuracy,Precision,Recall,Dropout,LR,Momentum
2020-31,0.7912087912087913,0.8571428571428571,0.8571428571428571,1.0,0.3011207298493497,0.0017687153773649502,0.8313600237431189
2020-33,0.9151260504201681,0.9428571428571428,0.9428571428571428,1.0,0.19850008243496695,0.0008942947488998497,0.4167078917551694
2020-34,1.0,1.0,1.0,1.0,0.47714324653036244,0.07685664002408767,0.1504406999247427
2020-35,0.7912087912087912,0.8571428571428571,0.8571428571428571,1.0,0.11655452589772325,0.00037977637786690434,0.25955117371090003
2020-36,0.3333333333333333,0.5,0.5,1.0,0.374956860575659,0.00017016409096492469,0.2588436209171784
2020-37,0.8526315789473683,0.9,0.9,1.0,0.21457985590553644,0.0021687547809022853,0.604685243287021
2020-39,0.9617049617049617,0.9743589743589743,0.9743589743589743,1.0,0.3700761875861853,0.00021705685957802608,0.8385934711965638
2020-40,0.8366013071895425,0.8888888888888888,0.8888888888888888,1.0,0.28489665669696296,0.0016942282346846613,0.3013843389241427
2020-41,0.3333333333333333,0.5,0.5,1.0,0.2564508969766657,0.0016090293166903503,0.649634877974881
2020-42,0.8658008658008658,0.9090909090909091,0.9090909090909091,1.0,0.4762717586448,0.010757078553214892,0.46418321866905815
2020-44,1.0,1.0,1.0,1.0,0.15675290546017223,0.07202707392166843,0.7668316634233604
2020-45,1.0,1.0,1.0,1.0,0.27374711345482444,0.002146866415303515,0.16398487916929302
2020-46,0.8658008658008658,0.9090909090909091,0.9090909090909091,1.0,0.271464921578406,0.0036078659473237997,0.16014267008274705
2020-47,1.0,1.0,1.0,1.0,0.2734575123449975,0.002052522830137587,0.6599263983687115
2020-48,0.8072646404744255,0.868421052631579,0.868421052631579,1.0,0.4002858940243379,0.002239634651541613,0.4337027606670526
2020-49,1.0,1.0,1.0,1.0,0.2343370786998823,0.018731924731521257,0.07029786802325237
2020-50,0.5873983739837398,0.7083333333333334,0.7083333333333334,1.0,0.22573749479863892,0.001849286272410223,0.7374301930670378
2020-51,1.0,1.0,1.0,1.0,0.20872178609098,0.0005799414647926043,0.186580184233212
2020-52,0.9667915106117353,0.9777777777777777,0.9777777777777777,1.0,0.2532470545722191,0.0023918322175775584,0.7182701287630184
2021-01,0.907258064516129,0.9375,0.9375,1.0,0.2647781287924619,0.02312830274048661,0.5185638466875869
2021-02,0.8272058823529411,0.8823529411764706,0.8823529411764706,1.0,0.2483466874452915,0.000891145271486625,0.09728498617327698
2021-03,1.0,1.0,1.0,1.0,0.3502296934600445,0.05878173480944213,0.755864940022443
2021-05,1.0,1.0,1.0,1.0,0.29634827144081416,0.015487724001911589,0.6548865282217268
2021-06,1.0,1.0,1.0,1.0,0.2097654836285633,0.03861416688618672,0.30049236141733265
2021-07,0.9274390243902438,0.9512195121951219,0.9512195121951219,1.0,0.13885636093938258,0.00021388952739063093,0.06203259562760375
2021-08,1.0,1.0,1.0,1.0,0.47113688242271823,0.005824343566376013,0.1455940236520346
2021-09,1.0,1.0,1.0,1.0,0.38345736601952896,0.0027599910202485106,0.0452910838777437
2021-10,0.8476489028213167,0.896551724137931,0.896551724137931,1.0,0.10419416998134978,0.00010438748413619118,0.47445410127125953
2021-11,1.0,1.0,1.0,1.0,0.4615618053299634,0.028411237824807988,0.21714988313047517
2021-12,1.0,1.0,1.0,1.0,0.3467761950959177,0.0025185060942685936,0.14250737242288308
2021-13,0.6428571428571428,0.75,0.75,1.0,0.3584671383561546,0.029556010026292285,0.6453329560747517
2021-14,0.9011494252873563,0.9333333333333333,0.9333333333333333,1.0,0.1632490546146524,0.0011309728322116167,0.566506755383597
2021-15,1.0,1.0,1.0,1.0,0.4890631817917662,0.0006213524426534578,0.03495551292778013
2021-16,0.8768115942028986,0.9166666666666666,0.9166666666666666,1.0,0.15785373978160833,0.00018848248632162394,0.05839678586090542
2021-17,0.7217675941080196,0.8076923076923077,0.8076923076923077,1.0,0.15021913979122653,0.00010863866710823134,0.8155454488312663
2021-18,1.0,1.0,1.0,1.0,0.4651541045696346,0.00016068608718842927,0.2683923739427674
2021-19,0.8861538461538461,0.9230769230769231,0.9230769230769231,1.0,0.2994309400025593,0.018295305832854922,0.2197642262626394
2021-20,0.8366013071895425,0.8888888888888888,0.8888888888888888,1.0,0.4319117409934391,0.004259001957932734,0.04497472680747827
2021-21,0.12698412698412698,0.2857142857142857,0.2857142857142857,1.0,0.26918799696981116,0.00010865570142669819,0.3866118349367621
2021-23,0.4245614035087719,0.5789473684210527,0.5789473684210527,1.0,0.13737473082361898,0.0006707649616205414,0.43420411282431365
2021-25,0.907258064516129,0.9375,0.9375,1.0,0.4804001838434927,0.01368850484035611,0.5116074238414956
2021-27,0.8366013071895425,0.8888888888888888,0.8888888888888888,1.0,0.1819379110868734,0.0012786571854285814,0.41847352987106273
2021-28,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.23228585488368286,0.00013160297585611993,0.536181724384841
2021-30,0.8004434589800443,0.8636363636363636,0.8636363636363636,1.0,0.3565739568512546,0.0006837264367716322,0.6758119310193055
2021-31,0.6428571428571428,0.75,0.75,1.0,0.4633462972642701,0.009238363078500211,0.7344742495844239
2021-34,1.0,1.0,1.0,1.0,0.48710855796624186,0.004986069335472461,0.3201184953127059
2021-35,1.0,1.0,1.0,1.0,0.19501223852540372,0.019752842620119858,0.04416074964185273
2021-36,1.0,1.0,1.0,1.0,0.13291215712411836,0.01621573624761017,0.4007277220945427
2021-38,1.0,1.0,1.0,1.0,0.4542451606529808,0.000297954457837123,0.262015168492084
